SYMBOL,NAME,LDCP,CURRENT,CHANGE,CHANGE(%),IDX_WTG(%),IDX_POINT,VOLUME,FREEFLOAT(M),MARKET_CAP(M)
AKBL,Askari Bank Limited,71.10,72.99,1.89,2.66%,4.13%,62.54,"23,051,790","1,334","97,377"
BOP,The Bank of Punjab,14.24,14.15,-0.09,-0.63%,8.79%,-32.72,"21,826,401","14,661","207,446"
OGDC,Oil & Gas Development Company Limited,262.24,267.08,4.84,1.85%,2.49%,26.43,"16,920,827",220,"58,804"
HBL,Habib Bank Limited,259.98,267.41,7.43,2.86%,5.75%,93.44,"10,786,062",507,"135,599"
HUBC,The Hub Power Company Limited,164.14,164.53,0.39,0.24%,4.34%,6.02,"9,964,467",623,"102,442"
BAFL,Bank Alfalah Limited,90.10,91.29,1.19,1.32%,5.78%,44.10,"7,841,810","1,494","136,404"
FATIMA,Fatima Fertilizer Company Limited,124.67,126.74,2.07,1.66%,4.01%,38.35,"4,514,775",747,"94,663"
EFERT,Engro Fertilizers Limited,214.63,221.84,7.21,3.36%,3.84%,73.00,"3,258,914",408,"90,558"
FFCXD,Fauji Fertilizer Company Limited,453.53,449.38,-4.15,-0.91%,3.83%,-20.70,"2,786,667",201,"90,355"
FABL,Faysal Bank Limited,77.09,74.61,-2.48,-3.22%,6.78%,-131.93,"2,635,087","2,145","160,028"
ENGROH,Engro Holdings Limited,213.99,208.81,-5.18,-2.42%,5.77%,-83.79,"2,498,158",652,"136,182"
UBL,United Bank Limited,378.64,380.78,2.14,0.57%,4.53%,14.89,"1,434,786",280,"106,794"
KAPCO,Kot Addu Power Company Limited,34.53,34.46,-0.07,-0.20%,9.08%,-10.79,"1,071,893","6,214","214,147"
MEBL,Meezan Bank Limited,374.15,369.51,-4.64,-1.24%,4.26%,-31.27,"978,968",272,"100,404"
MCB,MCB Bank Limited,359.17,352.76,-6.41,-1.78%,6.29%,-66.90,"863,064",421,"148,435"
AICL,Adamjee Insurance Company Limited,72.96,71.50,-1.46,-2.00%,3.73%,-44.56,"521,881","1,230","87,981"
GTYR,Ghandhara Tyre & Rubber Company Limited,46.42,46.85,0.43,0.93%,1.97%,10.56,"383,003",990,"46,385"
BAHL,Bank AL Habib Limited,173.29,175.09,1.80,1.04%,5.38%,32.36,"376,160",725,"126,907"
POL,Pakistan Oilfields Limited,648.19,647.11,-1.08,-0.17%,6.92%,-6.76,"204,222",252,"163,242"
MTL,Millat Tractors Limited,567.74,567.45,-0.29,-0.05%,2.32%,-0.69,"108,669",97,"54,808"
