Symbol,Name,Sector,Shares,Listed In
ABL,Allied Bank Limited,COMMERCIAL BANKS,"1,145,073,830",ALLSHRKSE100KSE100PR
AKBL,Askari Bank Limited,COMMERCIAL BANKS,"1,449,299,207",ALLSHRKSE100KSE100PRPSXDIV20
BAFL,Bank Alfalah Limited,COMMERCIAL BANKS,"1,577,165,119",ALLSHRBKTIJSGBKTIKSE100KSE100PRPSXDIV20
BAHL,Bank AL Habib Limited,COMMERCIAL BANKS,"1,111,425,419",ALLSHRBKTIJSGBKTIKSE100KSE100PRKSE30NBPPGINITPGIPSXDIV20
BIPL,BankIslami Pakistan Limited,COMMERCIAL BANKS,"1,108,703,299",ALLSHRJSMFIKMIALLSHR
BML,Bank Makramah Limited,COMMERCIAL BANKS,"6,622,220,576",ALLSHR
BOK,The Bank of Khyber,COMMERCIAL BANKS,"1,158,054,673",ALLSHR
BOP,The Bank of Punjab,COMMERCIAL BANKS,"3,271,569,319",ALLSHRKSE100KSE100PRPSXDIV20
FABL,Faysal Bank Limited,COMMERCIAL BANKS,"1,517,696,526",ALLSHRBKTIJSGBKTIJSMFIKMI30KMIALLSHRKSE100KSE100PRMII30PSXDIV20
HBL,Habib Bank Limited,COMMERCIAL BANKS,"1,466,852,508",ALLSHRBKTIJSGBKTIJSMFIKSE100KSE100PRKSE30NBPPGINITPGIPSXDIV20
HMB,Habib Metropolitan Bank Limited,COMMERCIAL BANKS,"1,047,831,480",ALLSHRKSE100KSE100PR
JSBL,JS Bank Limited,COMMERCIAL BANKS,"2,050,662,536",ALLSHR
MCB,MCB Bank Limited,COMMERCIAL BANKS,"1,185,060,006",ALLSHRBKTIJSGBKTIKSE100KSE100PRKSE30NBPPGINITPGIPSXDIV20UPP9
MEBL,Meezan Bank Limited,COMMERCIAL BANKS,"1,794,740,714",ALLSHRBKTIJSGBKTIJSMFIKMI30KMIALLSHRKSE100KSE100PRKSE30MII30NBPPGINITPGIPSXDIV20UPP9
NBP,National Bank of Pakistan,COMMERCIAL BANKS,"2,127,512,862",ALLSHRBKTIJSGBKTIJSMFIKSE100KSE100PRKSE30
SBL,Samba Bank Limited,COMMERCIAL BANKS,"1,008,238,648",ALLSHR
SCBPL,Standard Chartered Bank (Pak) Ltd,COMMERCIAL BANKS,"3,871,585,021",ALLSHRKSE100KSE100PR
SNBL,Soneri Bank Limited,COMMERCIAL BANKS,"1,102,463,503",ALLSHR
UBL,United Bank Limited,COMMERCIAL BANKS,"2,504,247,750",ALLSHRBKTIJSGBKTIKSE100KSE100PRKSE30NBPPGINITPGIPSXDIV20UPP9
